usager_id,age,niveau_diplome,anciennete_poste_ans,code_rome_vise,code_insee_commune,est_allocataire,nationalite_hors_ue,synthese_entretien,classe_retour_emploi
ID_0000,56.0,Bac+2,2.6,D1503,18273,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0001,46.0,Sans diplôme,10.5,G1302,07240,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_0002,,Bac,1.4,M1705,01405,,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_0003,60.0,Bac,0.2,A1203,63359,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0004,25.0,Sans diplôme,1.2,N1301,21302,1.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,0
ID_0005,38.0,Bac,2.1,A1203,71315,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_0006,56.0,Bac+5,0.5,N1303,59301,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0007,36.0,Bac+5,3.2,J1301,74007,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_0008,40.0,Bac+5,18.3,N1303,54007,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,0
ID_0009,28.0,Bac,1.8,A1501,60574,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",2
ID_0010,28.0,,1.3,N4301,33090,0.0,1,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0011,41.0,Bac,1.5,M1607,89277,1.0,1,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0012,53.0,Bac,0.4,A1203,34106,0.0,1,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_0013,57.0,Bac+5,6.4,J1506,30265,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0014,41.0,Sans diplôme,1.6,G1203,07257,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0015,20.0,Bac,1.5,K1304,52132,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",1
ID_0016,39.0,Sans diplôme,3.2,C1501,81062,0.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,0
ID_0017,19.0,Bac,1.8,G1801,29241,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0018,41.0,Bac+2,3.1,J1506,52273,1.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_0019,61.0,Bac,0.2,K2111,55044,1.0,1,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_0020,47.0,Bac,5.0,G1601,89049,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0021,55.0,Bac,8.5,G1203,59192,1.0,0,Cumul de difficultés. Pas de moyen de transport et garde d'enfants complexe.,2
ID_0022,19.0,Bac,3.1,A1203,39202,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_0023,38.0,Bac+2,9.3,M1203,17451,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0024,50.0,Bac+5,0.5,D1502,30029,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0025,29.0,Bac+5,1.9,K2106,57485,,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_0026,39.0,Bac+2,2.8,K2106,06084,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
