usager_id,age,niveau_diplome,anciennete_poste_ans,code_rome_vise,code_insee_commune,est_allocataire,nationalite_hors_ue,synthese_entretien,classe_retour_emploi
ID_0293,53.0,Bac,2.2,D1210,69047,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1756,61.0,Bac+5,0.5,A1501,72048,1.0,0,"Candidat très dynamique, mobilité nationale validée. Projet clair.",0
ID_0626,20.0,Bac+2,1.1,D1210,74164,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_2282,30.0,Bac+2,2.4,D1406,51162,1.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1793,58.0,Bac+5,0.4,D1210,16102,1.0,1,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0839,44.0,Bac+2,0.2,K1903,59431,0.0,1,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0352,57.0,Bac+5,0.7,N1303,42086,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_1026,49.0,Bac,1.9,H1206,65277,0.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,0
ID_1057,44.0,Bac+5,2.3,M1802,21341,1.0,1,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_0515,43.0,Bac,0.9,K1403,62757,0.0,0,Problème ponctuel de mobilité géographique. Zone mal desservie.,1
ID_0548,34.0,Bac,0.5,M1607,88500,1.0,1,"Candidat très dynamique, mobilité nationale validée. Projet clair.",2
ID_1186,47.0,Bac+2,2.7,D1503,65200,1.0,0,,1
ID_1210,36.0,Bac,11.2,A1301,62510,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_0481,19.0,Bac,0.6,K1201,56228,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1537,22.0,Sans diplôme,7.2,A1202,59278,1.0,0,"Perte de confiance importante. Risque d'exclusion, barrière de la langue.",2
ID_1892,24.0,Bac,1.9,A1501,02540,0.0,1,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,2
ID_2267,62.0,Bac,0.8,K1403,25421,0.0,0,Freins périphériques majeurs. Situation d'illettrisme numérique constatée.,1
ID_0416,30.0,Bac,5.3,D1406,29286,0.0,0,"Excellente présentation, compétences techniques à jour. Reprise rapide visée.",0
ID_0241,58.0,Bac+2,2.5,F1603,47061,1.0,0,Compétences à réactualiser sur les outils numériques. Motivation correcte.,1
ID_1817,30.0,Bac+2,4.7,A1301,70145,0.0,0,Projet de reconversion à affiner. Besoin d'une formation complémentaire.,1
ID_1295,60.0,Bac,5.3,G1602,70226,,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",1
ID_0443,29.0,Bac+5,1.3,D1503,88023,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
ID_1927,25.0,Bac,2.2,I1304,41112,1.0,0,"Profil autonome, recherche active, aucun frein périphérique identifié.",0
